Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0049,Construction,21,1001539.73,22,6.59,9,Waterfall,Mixed,2,2,0.74,Execution,Stable,0.36,0.47,1,2.79,Medium,Familiar,3,Excellent,0,0.95,Moderate,External,0.48,6.72,0.36,Medium,0.07,3,0.97,0,Mid-level PM,Managed,Medium,Poor,N/A,Hybrid,Medium,Extreme,First-time,Advanced,Formal,Partially Colocated,Excellent,6,5,1,Medium
PROJ_0050,Healthcare,30,1567605.84,30,8.25,11,Waterfall,Junior,1,3,0.69,Monitoring,Moderate,0.78,0.75,0,5.31,Critical,Familiar,3,Low,0,0.96,Moderate,External,0.05,3.61,0.95,High,1.74,5,0.82,0,Junior PM,Managed,Strict,Good,N/A,Fixed-Price,Medium,High,Strategic,Advanced,Formal,Fully Colocated,Good,10,3,1,High
PROJ_0051,Marketing,8,389340,7,3.02,9,Hybrid,Expert,4,3,0.22,Initiation,Moderate,0.25,0.87,2,3.89,High,Familiar,2,Poor,0.07,1.09,Strong,External,0.46,9.29,0.79,High,0.62,0,0.94,0,Certified PM,Optimizing,Medium,Limited,N/A,Time & Materials,Low,Moderate,Occasional,Advanced,Advanced,Partially Colocated,Basic,6,1,1,Low
PROJ_0052,Marketing,9,745740.18,14,5.77,10,Agile,Junior,2,2,0.31,Initiation,Moderate,0.16,0.67,1,8.69,Critical,Expert,1,Medium,0.03,0.98,Moderate,Internal,0.31,4.18,0.73,Low,2.1,7,0.83,0,Mid-level PM,Defined,Strict,Excellent,N/A,Hybrid,High,High,Occasional,Basic,Basic,Hybrid,Poor,1,4,1,Medium
PROJ_0053,IT,10,837440.99,12,4.19,12,Kanban,Expert,1,2,1.37,Monitoring,Stable,0.03,0.86,1,6.14,Low,Familiar,3,Low,0,0.79,Moderate,Internal,0.87,9.52,0.37,Medium,2.11,2,0.77,0.7,Mid-level PM,Managed,High,Limited,Mixed,Cost-Plus,High,Stable,Regular,Basic,Formal,Partially Colocated,Poor,8,3,1,Medium
PROJ_0054,R&D,12,1330371.62,16,7.27,14,Agile,Senior,5,5,0.56,Initiation,Moderate,0.2,0.41,1,4.22,Low,New,3,Excellent,0.12,0.97,Weak,Internal,0.37,9.29,0.71,Low,1.88,4,0.78,0,Senior PM,Optimizing,High,Limited,N/A,Hybrid,Medium,High,Occasional,Formal,Formal,Hybrid,Good,12,7,1,High
PROJ_0055,IT,13,1251156.17,18,6.68,9,Scrum,Mixed,0,2,0.74,Monitoring,Volatile,0.56,0.98,0,3.42,High,Familiar,5,Excellent,0,0.83,Moderate,External,0.51,9.47,0.91,Low,1.05,5,0.66,0.75,Junior PM,Managed,Medium,Limited,Mixed,Cost-Plus,High,High,Regular,Formal,Formal,Fully Colocated,Basic,3,4,1,High
PROJ_0056,Construction,19,1156788.24,20,4.64,11,Waterfall,Senior,3,2,4.27,Planning,Stable,0.17,0.87,0,3.37,Critical,Expert,2,High,0,0.96,Weak,Government,0.76,7.11,0.84,High,0.7,0,0.63,0,Mid-level PM,Defined,Low,Good,N/A,Time & Materials,Medium,Moderate,First-time,None,Basic,Partially Colocated,Basic,1,3,1,Medium
PROJ_0057,Marketing,17,1334670.15,17,7.92,9,Agile,Mixed,1,4,2.69,Closure,Volatile,0.34,0.39,1,2.16,Medium,Familiar,3,High,0.14,1.25,Moderate,Mixed,0.83,8.58,0.56,High,1.19,7,0.73,0,Mid-level PM,Managed,High,Moderate,N/A,Hybrid,Medium,Extreme,Regular,Advanced,Basic,Fully Colocated,Poor,12,5,1.1,Critical
PROJ_0058,R&D,17,1773161.64,23,8.48,18,Agile,Mixed,2,5,1.79,Planning,Volatile,0.79,0.98,1,6.48,Medium,New,5,High,0,1.06,Strong,Mixed,0.06,7.99,0.88,Critical,1.04,5,0.73,0,Senior PM,Defined,Low,Excellent,N/A,Time & Materials,Medium,Extreme,Regular,Basic,Basic,Hybrid,Basic,4,3,1,High
PROJ_0059,IT,14,1135779.98,13,4.58,10,Scrum,Mixed,0,4,1.15,Closure,Stable,0.38,0.64,0,6.57,High,Expert,2,Low,0,0.99,Moderate,External,0.86,6.28,0.71,Low,2.65,4,0.76,0.93,Junior PM,Ad-hoc,Strict,Poor,Mixed,Fixed-Price,Medium,Moderate,Strategic,Advanced,None,Partially Colocated,Good,3,4,1,Medium
PROJ_0060,IT,7,986393.57,11,4.27,9,Kanban,Senior,4,1,2.78,Monitoring,Moderate,0.04,0.75,4,2.45,Critical,New,5,Low,0,0.9,Weak,Internal,0.61,8.93,0.92,Medium,1.17,7,0.9,1,Mid-level PM,Defined,Strict,Moderate,Modern/Stable,Fixed-Price,Medium,Moderate,Strategic,Basic,Basic,Partially Colocated,Poor,1,3,1,High
PROJ_0061,IT,13,1111271.59,22,8.08,9,Kanban,Expert,4,4,0.92,Monitoring,Stable,0.11,0.76,2,1.81,Critical,Expert,3,Medium,0,0.6,Weak,Internal,0.88,4.98,0.99,Medium,0.24,7,0.48,0.94,Senior PM,Managed,Low,Limited,Legacy/Unstable,Fixed-Price,Low,High,Occasional,Advanced,Basic,Fully Remote,Poor,12,4,1.1,High
PROJ_0062,IT,15,1026056.67,15,5.83,13,Scrum,Senior,7,4,1.25,Execution,Volatile,0.07,0.59,2,3.47,High,Familiar,4,Medium,0,0.6,Strong,Internal,0.79,6.65,0.83,Medium,0.11,0,0.75,0.04,Senior PM,Defined,Strict,Poor,Modern/Stable,Hybrid,High,Moderate,Regular,None,Formal,Fully Remote,Basic,3,6,1,High
PROJ_0063,IT,7,618141.35,9,4.43,5,Kanban,Mixed,2,2,0.94,Initiation,Moderate,0.27,0.56,2,1.46,Critical,Familiar,2,High,0.19,1.07,Moderate,Government,0.93,4.49,0.35,Low,0.61,0,0.88,0.67,Mid-level PM,Managed,High,Moderate,Modern/Stable,Hybrid,Medium,Moderate,Occasional,Formal,Advanced,Fully Remote,Basic,1,1,1,Medium
PROJ_0064,Healthcare,6,467539.93,12,5.06,7,Scrum,Mixed,1,2,0.17,Monitoring,Stable,0.45,0.95,0,1.25,Critical,Expert,5,Poor,0.05,0.68,Strong,Internal,0.78,5.16,0.91,Critical,1.88,1,0.6,0,Junior PM,Defined,Strict,Good,N/A,Time & Materials,High,Moderate,First-time,Basic,Formal,Partially Colocated,Poor,7,1,1,High
PROJ_0065,IT,7,989069.32,12,4.51,10,Scrum,Mixed,2,2,1.21,Closure,Stable,0.33,0.52,2,4.53,High,Familiar,5,Medium,0,0.77,Moderate,Mixed,0.79,1.29,0.85,Critical,0.61,3,0.89,0.9,Mid-level PM,Ad-hoc,Medium,Moderate,Modern/Stable,Time & Materials,Medium,Stable,Strategic,None,None,Fully Colocated,Good,10,3,1.1,Medium
PROJ_0066,Marketing,9,574513.65,9,5.18,9,Agile,Mixed,1,2,0.93,Execution,Moderate,0.49,0.64,2,6.63,Low,Expert,1,Excellent,0.31,1.23,Strong,Internal,0.44,7.75,0.67,Critical,0.53,3,0.84,0,Senior PM,Ad-hoc,Low,Moderate,N/A,Cost-Plus,High,Stable,Occasional,Formal,Basic,Hybrid,Good,11,1,1.1,Medium
PROJ_0067,Marketing,7,411537.66,5,2.87,3,Scrum,Expert,4,3,1.64,Execution,Moderate,0.13,0.67,1,3.76,Low,Expert,4,Low,0.3,0.87,Moderate,External,0.45,8.02,1,Critical,1.22,0,0.71,0,Senior PM,Optimizing,Medium,Limited,N/A,Fixed-Price,High,Stable,Occasional,Formal,Formal,Fully Colocated,Excellent,10,1,1.1,Low
PROJ_0068,Manufacturing,2,385034.63,7,4.48,9,Agile,Junior,0,3,0.74,Planning,Moderate,0.34,0.81,1,4.15,High,Familiar,4,High,0.38,0.9,Strong,Government,0.81,3.02,0.46,Low,0.16,5,0.83,0,Junior PM,Managed,High,Poor,N/A,Time & Materials,Low,Moderate,First-time,Advanced,Basic,Fully Colocated,Basic,4,1,1,Medium
PROJ_0069,IT,15,1127068.27,15,6.18,11,Agile,Junior,1,3,0.95,Monitoring,Moderate,0.28,0.64,0,3.71,Medium,New,3,Medium,0.03,1,Strong,External,0.29,5.21,0.73,Critical,3,7,0.82,0.56,Junior PM,Managed,High,Limited,Mixed,Cost-Plus,Medium,Moderate,Regular,Basic,Formal,Fully Remote,Excellent,1,2,1,Medium
PROJ_0070,Marketing,15,1278084.75,12,4.87,12,Agile,Senior,1,4,1.01,Monitoring,Moderate,0.3,0.71,0,1.53,Critical,Familiar,3,Excellent,0.01,1.04,Strong,Mixed,0.4,8.25,0.71,Critical,3.75,7,0.98,0,Senior PM,Optimizing,Medium,Good,N/A,Fixed-Price,Medium,Stable,Strategic,Formal,Advanced,Hybrid,Good,6,2,1,Low
PROJ_0071,Manufacturing,9,908547.43,13,3.3,10,Kanban,Mixed,1,1,0.69,Execution,Stable,0.32,0.9,6,3.56,Low,Expert,4,Excellent,0,0.76,Moderate,Internal,0.48,2.24,0.36,High,0.91,1,0.8,0,Junior PM,Defined,High,Moderate,N/A,Fixed-Price,High,High,Strategic,None,Basic,Partially Colocated,Excellent,5,4,1,Medium
PROJ_0072,Construction,22,1844907.24,17,4.76,16,Hybrid,Senior,4,1,2.24,Execution,Moderate,0.23,0.86,4,6.8,Low,Familiar,4,Medium,0,1.09,Moderate,External,0.36,9.2,0.31,Critical,0.19,4,0.7,0,Senior PM,Managed,Medium,Limited,N/A,Time & Materials,Low,Stable,Regular,Basic,Basic,Partially Colocated,Basic,7,7,1,Low
PROJ_0073,Construction,38,2238328.55,29,6.98,19,Waterfall,Mixed,0,4,0.83,Planning,Moderate,0.23,0.71,1,1.66,Low,Expert,2,High,0,1.21,Moderate,External,0.35,8.23,0.68,High,1.92,3,0.87,0,Senior PM,Defined,Medium,Moderate,N/A,Fixed-Price,High,High,Strategic,Advanced,None,Hybrid,Good,10,9,1,Low
PROJ_0074,R&D,19,2027111.9,22,7.81,18,Scrum,Senior,4,4,0.89,Monitoring,Stable,0.18,0.9,1,1.19,Medium,Familiar,5,Medium,0,0.65,Moderate,Mixed,0.94,5.2,0.61,Low,0.72,7,0.75,0,Senior PM,Optimizing,Strict,Limited,N/A,Fixed-Price,Low,Stable,Regular,Advanced,Formal,Partially Colocated,Good,1,5,1,Medium
PROJ_0075,Construction,21,1670930.43,20,5.82,14,Hybrid,Mixed,0,3,4.9,Execution,Moderate,0.18,0.69,3,3.05,Medium,Familiar,5,Medium,0,1.26,Weak,Internal,0.38,5.99,0.35,Critical,2.32,7,0.86,0,Senior PM,Optimizing,Medium,Poor,N/A,Time & Materials,High,Stable,Regular,Advanced,Formal,Hybrid,Poor,1,5,1,Medium
PROJ_0076,Healthcare,14,567489.17,14,5.64,10,Hybrid,Senior,5,3,1.16,Execution,Moderate,0.06,0.62,3,4.3,Low,Familiar,1,Poor,0.01,0.89,Moderate,Mixed,0.3,7.58,0.79,Critical,3.17,2,0.78,0,Senior PM,Ad-hoc,Strict,Good,N/A,Hybrid,Low,Moderate,Occasional,None,Basic,Fully Remote,Basic,2,3,1,High
PROJ_0077,IT,5,529247.88,10,3.41,10,Kanban,Senior,3,0,2.03,Monitoring,Stable,0.21,0.35,3,1.64,Medium,Expert,3,Low,0,0.72,Weak,External,0.79,4.46,0.61,Low,0.13,7,0.78,0.58,Mid-level PM,Ad-hoc,Low,Good,Mixed,Fixed-Price,High,Moderate,Occasional,None,None,Fully Remote,Good,6,4,1,High
PROJ_0078,IT,12,1080592.62,15,6.63,12,Agile,Mixed,4,4,1.03,Closure,Volatile,0.51,0.89,2,6.16,Medium,Familiar,3,High,0.1,0.82,Moderate,Internal,0.65,7.71,0.46,High,1.94,5,0.88,0.75,Mid-level PM,Ad-hoc,Low,Good,Modern/Stable,Cost-Plus,High,Moderate,Strategic,None,None,Hybrid,Excellent,2,6,1,Medium
PROJ_0079,Manufacturing,7,479551.97,7,3.5,7,Kanban,Senior,5,2,2.37,Initiation,Moderate,0.21,0.49,3,7.09,High,New,1,Excellent,0.2,1.17,Moderate,Government,0.64,4.62,0.7,High,0.37,7,0.9,0,Senior PM,Managed,High,Limited,N/A,Time & Materials,Medium,High,Occasional,Formal,Basic,Fully Remote,Basic,5,1,1,Medium
PROJ_0080,Marketing,7,498347.77,9,3.79,10,Kanban,Junior,1,1,1.68,Execution,Stable,0.47,0.83,2,4.28,Low,Expert,2,High,0.05,0.63,Strong,Internal,0.66,7.72,0.52,Low,2.2,3,0.33,0,Mid-level PM,Ad-hoc,Medium,Good,N/A,Fixed-Price,Medium,Extreme,Regular,None,None,Fully Colocated,Excellent,2,1,1,High
PROJ_0081,R&D,19,2070358.83,22,8.55,17,Scrum,Mixed,0,6,1.68,Planning,Moderate,0.41,0.85,1,5.6,Low,Familiar,4,Poor,0,1.2,Moderate,Mixed,0.53,8.73,0.53,Medium,1.63,7,0.71,0,Senior PM,Optimizing,Medium,Limited,N/A,Time & Materials,Low,High,Regular,Basic,Formal,Partially Colocated,Good,10,10,1,High
PROJ_0082,Construction,25,1587371.97,20,3.92,12,Waterfall,Junior,1,2,2.64,Execution,Stable,0.3,0.79,1,7.4,Critical,Expert,1,Poor,0,1.05,Weak,Mixed,0.55,1.79,0.56,Low,0.46,0,0.77,0,Junior PM,Managed,Low,Limited,N/A,Fixed-Price,High,Stable,Occasional,None,Formal,Hybrid,Basic,6,1,1,High
PROJ_0083,IT,6,747101.32,11,4.38,5,Kanban,Mixed,4,1,0.34,Execution,Volatile,0.14,0.58,1,3.49,Medium,New,1,Low,0,0.66,Weak,External,0.3,1.81,0.94,Medium,0.52,3,0.84,0.97,Junior PM,Managed,Medium,Moderate,Modern/Stable,Time & Materials,Medium,High,Occasional,Formal,Basic,Partially Colocated,Poor,10,1,1.1,Critical
PROJ_0084,IT,10,1133647.27,19,7.54,8,Kanban,Expert,6,3,1.93,Monitoring,Volatile,0.26,0.66,1,4.58,Critical,Familiar,2,Low,0,1.01,Moderate,Internal,0.62,5.32,0.76,Medium,0.17,1,0.89,0.4,Certified PM,Managed,High,Good,Mixed,Time & Materials,Low,High,Regular,Basic,Advanced,Fully Remote,Basic,10,3,1.1,Medium
PROJ_0085,R&D,24,2215089.91,26,10,16,Scrum,Mixed,1,5,3.02,Closure,Moderate,0.31,0.83,0,4.37,Critical,New,3,Low,0,0.72,Strong,External,0.54,6.72,0.44,Low,1.35,7,0.97,0,Senior PM,Managed,Medium,Good,N/A,Fixed-Price,Medium,Extreme,Regular,Formal,Formal,Fully Remote,Excellent,11,12,1,High
PROJ_0086,Construction,33,2484915.23,32,9.63,19,Hybrid,Junior,1,3,1.99,Closure,Moderate,0.44,0.61,0,4.55,Critical,Familiar,1,Poor,0,0.83,Strong,External,0.04,5.27,0.54,High,0.51,7,0.46,0,Senior PM,Optimizing,Medium,Moderate,N/A,Time & Materials,Medium,Extreme,Regular,Advanced,Formal,Partially Colocated,Poor,8,4,1,High
PROJ_0087,Construction,23,1528589.34,19,4.3,12,Waterfall,Senior,1,1,0.82,Initiation,Moderate,0.23,0.45,2,4.32,Critical,New,2,Excellent,0,1.24,Moderate,Internal,0.55,3.25,0.54,Medium,0.75,1,0.68,0,Mid-level PM,Defined,Medium,Excellent,N/A,Time & Materials,High,Moderate,Strategic,None,Basic,Hybrid,Basic,7,2,1,Medium
PROJ_0088,Construction,28,1926728.35,22,4.32,14,Waterfall,Senior,2,4,1.79,Monitoring,Moderate,0.2,0.65,1,3.36,Low,Expert,2,Excellent,0,0.94,Strong,Government,0.1,4.86,0.74,High,2.12,1,0.9,0,Senior PM,Defined,Low,Limited,N/A,Time & Materials,Medium,Moderate,Strategic,Basic,Basic,Hybrid,Poor,3,4,1,Low
PROJ_0089,IT,9,738941.18,22,8.73,6,Kanban,Mixed,1,5,3.4,Monitoring,Moderate,0.27,0.79,2,3.4,Critical,Expert,2,Low,0,1.01,Strong,Mixed,0.86,5.11,0.63,Critical,3.15,1,0.86,0.42,Mid-level PM,Managed,High,Poor,Modern/Stable,Time & Materials,Medium,Moderate,First-time,Basic,None,Fully Colocated,Basic,1,1,1,Medium
PROJ_0090,Manufacturing,13,634128.18,15,4.91,10,Hybrid,Mixed,0,1,0.72,Initiation,Moderate,0.27,0.75,1,10.36,High,Expert,3,Low,0,1.15,Weak,Internal,0.76,9.04,0.6,Low,0.44,3,0.86,0,Junior PM,Ad-hoc,Strict,Limited,N/A,Time & Materials,Medium,Stable,First-time,None,Formal,Fully Remote,Basic,2,3,1,Critical
PROJ_0091,R&D,21,1583118.66,25,10,15,Agile,Senior,2,6,2.21,Execution,Moderate,0.09,0.89,2,0.94,Low,New,4,Medium,0,0.67,Weak,External,0.13,1.52,0.89,Low,1.16,1,0.78,0,Senior PM,Defined,Strict,Limited,N/A,Time & Materials,High,Extreme,Occasional,Basic,None,Fully Remote,Basic,10,3,1,Critical
PROJ_0092,Manufacturing,8,498192.11,13,5.18,7,Kanban,Senior,2,1,0.9,Closure,Moderate,0.26,0.74,0,2.25,Low,Familiar,4,Low,0,1.18,Weak,Internal,0.75,1.43,0.96,Critical,0.42,5,0.56,0,Senior PM,Ad-hoc,Low,Limited,N/A,Time & Materials,Medium,Stable,Occasional,Basic,Basic,Hybrid,Good,12,3,1,High
PROJ_0093,R&D,27,2386368.1,26,10,17,Agile,Expert,5,7,0.47,Closure,Volatile,0.05,0.42,0,1.56,Low,New,5,Excellent,0,0.89,Moderate,External,0.69,7.9,0.51,High,1.18,4,0.65,0,Mid-level PM,Optimizing,Low,Moderate,N/A,Hybrid,High,Extreme,Strategic,Formal,Advanced,Hybrid,Good,9,4,1,Medium
PROJ_0094,IT,14,854291.49,17,7.69,7,Agile,Senior,1,4,0.83,Closure,Moderate,0.47,0.87,0,3.2,High,Expert,2,Excellent,0.12,0.9,Strong,External,0.22,1.93,0.71,Medium,2.27,5,0.51,0.13,Mid-level PM,Defined,Strict,Moderate,Mixed,Cost-Plus,Medium,High,Occasional,Basic,None,Fully Colocated,Excellent,9,4,1,Medium
PROJ_0095,Marketing,11,400813.02,10,4.29,4,Hybrid,Mixed,2,1,2.27,Execution,Moderate,0.17,0.78,2,5.16,Low,Expert,1,Medium,0.07,0.9,Moderate,External,0.93,6.77,0.52,Medium,0.77,2,0.63,0,Certified PM,Managed,High,Limited,N/A,Fixed-Price,Low,High,First-time,Basic,Advanced,Fully Remote,Poor,4,3,1,Medium
PROJ_0096,Marketing,4,268604.44,7,3.58,4,Scrum,Expert,4,0,0.96,Initiation,Volatile,0.1,0.58,1,2.17,Critical,Expert,5,Low,0.22,0.62,Strong,External,0.63,6.23,0.82,Low,1.24,1,0.71,0,Senior PM,Managed,Medium,Limited,N/A,Fixed-Price,Medium,Moderate,First-time,Formal,None,Partially Colocated,Good,5,2,1,Medium
PROJ_0097,R&D,14,1624385.14,17,6.42,15,Scrum,Senior,3,5,0.91,Initiation,Moderate,0.22,0.54,0,2.9,Low,New,2,Low,0,0.74,Strong,External,0.21,6.52,0.46,Critical,2.49,3,0.93,0,Senior PM,Ad-hoc,Low,Moderate,N/A,Hybrid,Medium,Moderate,Regular,None,None,Partially Colocated,Excellent,8,6,1,High
PROJ_0098,Manufacturing,14,507613.42,12,3.9,7,Waterfall,Senior,1,3,0.49,Execution,Stable,0.08,0.82,0,6.52,Low,Expert,1,Poor,0,0.67,Moderate,External,0.94,9.58,0.47,Low,0.85,0,0.83,0,Junior PM,Ad-hoc,Low,Poor,N/A,Time & Materials,High,Stable,Regular,None,None,Hybrid,Basic,1,2,1,High
PROJ_0099,Marketing,15,584529.2,13,4.2,9,Waterfall,Senior,3,1,0.7,Initiation,Moderate,0.09,0.72,3,4.84,Medium,Familiar,5,Low,0,0.91,Strong,Internal,0.73,2.57,0.55,Low,1.06,6,0.98,0,Mid-level PM,Ad-hoc,Medium,Poor,N/A,Fixed-Price,Medium,High,First-time,Basic,Basic,Fully Colocated,Excellent,10,2,1.1,High
PROJ_0100,Manufacturing,23,1311091.9,22,5.98,12,Waterfall,Expert,0,4,2.69,Closure,Moderate,0.04,0.17,2,2.46,Critical,Familiar,5,Medium,0,1.18,Moderate,Mixed,0.26,8.8,0.77,High,1.04,1,0.75,0,Mid-level PM,Optimizing,Medium,Limited,N/A,Fixed-Price,Low,Moderate,Strategic,Advanced,Advanced,Fully Remote,Basic,7,10,1,Low
